,customer_id,cluster_label,gender,past_3_years_bike_related_purchases,job_title,wealth_segment,deceased_indicator,owns_car,tenure,age
0,1,1,F,93,Executive Secretary,Mass Customer,N,Yes,11.0,67.0
1,2,0,M,81,Administrative Officer,Mass Customer,N,Yes,16.0,40.0
2,3,1,M,61,Recruiting Manager,Mass Customer,N,Yes,15.0,67.0
3,4,0,M,33,IT,Mass Customer,N,No,7.0,59.0
4,5,0,F,56,Senior Editor,Affluent Customer,N,Yes,8.0,43.0
5,6,1,M,35,Retail,High Net Worth,N,Yes,13.0,54.0
6,7,0,F,6,Financial Services,Affluent Customer,N,Yes,11.0,45.0
7,8,1,M,31,Media Manager I,Mass Customer,N,No,7.0,59.0
8,9,0,F,97,Business Systems Development Analyst,Affluent Customer,N,Yes,8.0,48.0
9,10,0,F,49,Senior Quality Engineer,Mass Customer,N,Yes,20.0,32.0
10,11,0,M,99,Property,Mass Customer,N,No,9.0,66.0
11,12,0,M,58,Nuclear Power Engineer,Mass Customer,N,No,8.0,26.0
12,13,1,M,38,Developer I,High Net Worth,N,Yes,8.0,66.0
13,14,1,F,85,Account Executive,Affluent Customer,N,No,6.0,38.0
14,15,0,M,91,Junior Executive,Mass Customer,N,No,1.0,20.0
15,16,1,M,38,Media Manager IV,Mass Customer,N,Yes,18.0,44.0
16,17,0,M,57,Sales Associate,Affluent Customer,N,Yes,15.0,59.0
17,18,1,F,79,Professor,Affluent Customer,N,No,11.0,53.0
18,19,1,F,76,Geological Engineer,High Net Worth,N,No,1.0,20.0
19,20,0,M,72,Project Manager,Mass Customer,N,No,11.0,40.0
20,21,0,M,74,Safety Technician I,Affluent Customer,N,Yes,16.0,40.0
21,22,0,F,79,IT,Mass Customer,N,No,11.0,58.0
22,24,0,F,55,Research Assistant I,Mass Customer,N,Yes,15.0,43.0
23,25,1,M,72,Accounting Assistant III,Mass Customer,N,Yes,21.0,44.0
24,26,1,F,12,Editor,Mass Customer,N,Yes,16.0,42.0
25,27,0,M,37,Research Nurse,Mass Customer,N,Yes,12.0,42.0
